t0_s,t1_s,dt_s,n_valid_px,mean_mm,median_mm,max_scour_mm,max_depos_mm,rms_mm,scour_mL,depos_mL,net_mL,scour_mL_per_s,depos_mL_per_s,net_mL_per_s,image,overlay,depth_t0,depth_t1,depth_change
27.4,57.4,30.0,265262,1.7197600603103638,2.0,57.0,-24.0,3.0762641429901123,1264.3343505859375,167.51852416992188,1096.8158264160156,42.14447835286458,5.583950805664062,36.56052754720052,frame_t027_t057.png,overlay_t027_t057.jpg,depth_t027.png,depth_t057.png,depth_change_t027_t057.png
57.4,87.4,30.000000000000007,300748,0.4437103569507599,0.0,46.0,-29.0,2.4773964881896973,816.1072387695312,544.3133544921875,271.79388427734375,27.203574625651036,18.14377848307291,9.059796142578122,frame_t057_t087.png,overlay_t057_t087.jpg,depth_t057.png,depth_t087.png,depth_change_t057_t087.png
87.4,117.4,30.0,299243,-0.014182453975081444,0.0,43.0,-47.0,2.2085957527160645,540.0786743164062,551.1676635742188,-11.0889892578125,18.002622477213542,18.372255452473958,-0.36963297526041666,frame_t087_t117.png,overlay_t087_t117.jpg,depth_t087.png,depth_t117.png,depth_change_t087_t117.png
117.4,147.4,30.0,299599,-0.09840486943721771,0.0,32.0,-40.0,2.4872801303863525,602.9752197265625,659.6407470703125,-56.66552734375,20.099173990885415,21.98802490234375,-1.8888509114583334,frame_t117_t147.png,overlay_t117_t147.jpg,depth_t117.png,depth_t147.png,depth_change_t117_t147.png
147.4,177.4,30.0,301492,-0.21584652364253998,0.0,29.0,-24.0,2.1581618785858154,467.7490234375,619.8666381835938,-152.11761474609375,15.591634114583334,20.662221272786457,-5.070587158203125,frame_t147_t177.png,overlay_t147_t177.jpg,depth_t147.png,depth_t177.png,depth_change_t147_t177.png
177.4,207.4,30.0,301774,0.07276637852191925,0.0,22.0,-26.0,2.045677661895752,546.353271484375,497.3798828125,48.973388671875,18.211775716145834,16.579329427083334,1.6324462890625,frame_t177_t207.png,overlay_t177_t207.jpg,depth_t177.png,depth_t207.png,depth_change_t177_t207.png
